id,civic_centre,death_licenses,place_of_death,year,month,season
28317,SC,513,Toronto,2018,6,Summer
28318,ET,117,Outside City Limits,2018,7,Summer
28319,ET,327,Toronto,2018,7,Summer
28320,NY,125,Outside City Limits,2018,7,Summer
28321,NY,348,Toronto,2018,7,Summer
28322,SC,72,Outside City Limits,2018,7,Summer
28323,SC,522,Toronto,2018,7,Summer
28324,ET,81,Outside City Limits,2018,8,Summer
28325,ET,220,Toronto,2018,8,Summer
28326,NY,26,Outside City Limits,2018,8,Summer
28327,NY,183,Toronto,2018,8,Summer
28328,SC,70,Outside City Limits,2018,8,Summer
28329,SC,406,Toronto,2018,8,Summer
28330,ET,157,Outside City Limits,2018,9,Fall
28331,ET,373,Toronto,2018,9,Fall
28332,NY,101,Outside City Limits,2018,9,Fall
28333,NY,285,Toronto,2018,9,Fall
28334,SC,133,Outside City Limits,2018,9,Fall
28335,SC,582,Toronto,2018,9,Fall
28336,ET,170,Outside City Limits,2018,10,Fall
28337,ET,573,Toronto,2018,10,Fall
28338,NY,37,Outside City Limits,2018,10,Fall
28339,NY,214,Toronto,2018,10,Fall
28340,SC,80,Outside City Limits,2018,10,Fall
28341,SC,592,Toronto,2018,10,Fall
28342,ET,175,Outside City Limits,2018,11,Fall
28343,ET,510,Toronto,2018,11,Fall
28344,NY,63,Outside City Limits,2018,11,Fall
28345,NY,343,Toronto,2018,11,Fall
28346,SC,101,Outside City Limits,2018,11,Fall
28347,SC,425,Toronto,2018,11,Fall
28348,ET,85,Outside City Limits,2018,12,Winter
28349,ET,144,Toronto,2018,12,Winter
28350,NY,89,Outside City Limits,2018,12,Winter
28351,NY,287,Toronto,2018,12,Winter
28352,SC,73,Outside City Limits,2018,12,Winter
28353,SC,433,Toronto,2018,12,Winter
